,model_name,country_code,item_group_code,outlet_group_code,week_of_forecast,actual_check,absolute_actual_difference,percentage_actual_difference,absolute_forecast_difference,percentage_forecast_difference,cell,mape_diff,1-rmsse_diff,wide_mape_diff,abs_mape_diff,abs_wide_mape_diff,abs_1-rmsse_diff
66,prophet,SE,MOBILE_COMPUTING,ALL,2701,0.0,86956.0,39.0,84011.09093985615,35.0,SE-MOBILE_COMPUTING-ALL,-0.021384027842091896,0.8497700868700448,-0.029336295621880205,0.021384027842091896,0.029336295621880205,0.8497700868700448
67,prophet,SE,MOBILE_COMPUTING,ALL,2702,0.0,87920.0,39.0,87471.15076424392,38.0,SE-MOBILE_COMPUTING-ALL,-0.015698627279292277,0.8908599670378361,-0.010181994186755201,0.015698627279292277,0.010181994186755201,0.8908599670378361
68,prophet,SE,MOBILE_COMPUTING,ALL,2703,0.0,87964.0,40.0,87155.14670013037,38.0,SE-MOBILE_COMPUTING-ALL,-0.011779862769899507,1.0012790674231575,-0.013213770739304,0.011779862769899507,0.013213770739304,1.0012790674231575
69,prophet,SE,MOBILE_COMPUTING,ALL,2704,0.0,86785.0,39.0,88001.78458827615,38.0,SE-MOBILE_COMPUTING-ALL,-0.007541859221353614,0.9788312799801171,-0.005277685673317902,0.007541859221353614,0.005277685673317902,0.9788312799801171
70,prophet,SE,MOBILE_COMPUTING,ALL,2705,0.0,85639.0,39.0,87268.63098640375,37.0,SE-MOBILE_COMPUTING-ALL,-0.008400042495536192,0.9546657309741318,-0.008767485768420603,0.008400042495536192,0.008767485768420603,0.9546657309741318
71,prophet,SE,MOBILE_COMPUTING,ALL,2706,0.0,85544.0,39.0,89914.05498024209,38.0,SE-MOBILE_COMPUTING-ALL,-0.0021553309798512943,0.874697897406812,-0.002438049637083599,0.0021553309798512943,0.002438049637083599,0.874697897406812
72,prophet,SE,PTV_FLAT,ALL,2701,0.0,6811.0,2.0,6928.001328955678,2.0,SE-PTV_FLAT-ALL,-0.0050685889266005035,-0.011984159947158401,-0.001110261179857401,0.0050685889266005035,0.001110261179857401,0.011984159947158401
73,prophet,SE,PTV_FLAT,ALL,2702,0.0,6743.0,2.0,6856.892847498317,2.0,SE-PTV_FLAT-ALL,-0.004993009398078729,-0.012272977321038603,-0.0012771377229233022,0.004993009398078729,0.0012771377229233022,0.012272977321038603
74,prophet,SE,PTV_FLAT,ALL,2703,0.0,6621.0,2.0,6846.030237680239,2.0,SE-PTV_FLAT-ALL,-0.00521263635792979,-0.012617925705805444,-0.0016376833645057043,0.00521263635792979,0.0016376833645057043,0.012617925705805444
75,prophet,SE,PTV_FLAT,ALL,2704,0.0,6514.0,2.0,6709.704861354599,2.0,SE-PTV_FLAT-ALL,-0.0048714414634029035,-0.01184130259606997,-0.0011949367123257962,0.0048714414634029035,0.0011949367123257962,0.01184130259606997
76,prophet,SE,PTV_FLAT,ALL,2705,0.0,6452.0,2.0,6647.086626882703,2.0,SE-PTV_FLAT-ALL,-0.0046868704827812135,-0.014779904812917577,-0.0005448215144938998,0.0046868704827812135,0.0005448215144938998,0.014779904812917577
77,prophet,SE,PTV_FLAT,ALL,2706,0.0,6318.0,2.0,6597.154035888791,2.0,SE-PTV_FLAT-ALL,-0.004453881574429219,-0.015604021493087927,0.0005257128479778002,0.004453881574429219,0.0005257128479778002,0.015604021493087927
0,exponential_smoothing,CH,MOBILE_COMPUTING,ALL,2701,0.0,36936.0,13.0,-23373.80074370306,-7.000000000000001,CH-MOBILE_COMPUTING-ALL,-0.09043930448867742,0.2444002254824218,-0.09928919406357989,0.09043930448867742,0.09928919406357989,0.2444002254824218
1,exponential_smoothing,CH,MOBILE_COMPUTING,ALL,2702,0.0,37756.0,13.0,44332.45303744945,15.0,CH-MOBILE_COMPUTING-ALL,-0.042161338143265406,0.10365354998381857,0.017380694196652197,0.042161338143265406,0.017380694196652197,0.10365354998381857
2,exponential_smoothing,CH,MOBILE_COMPUTING,ALL,2703,0.0,37712.0,13.0,26526.31381225426,9.0,CH-MOBILE_COMPUTING-ALL,-0.014272813045630606,0.007428092888539073,0.019957407933411102,0.014272813045630606,0.019957407933411102,0.007428092888539073
3,exponential_smoothing,CH,MOBILE_COMPUTING,ALL,2704,0.0,37737.99999999999,13.0,43079.13958102932,16.0,CH-MOBILE_COMPUTING-ALL,-0.003464452039080995,-0.04718083810738019,-0.021721950690436198,0.003464452039080995,0.021721950690436198,0.04718083810738019
4,exponential_smoothing,CH,MOBILE_COMPUTING,ALL,2705,0.0,38217.99999999999,13.0,37624.927544208665,14.000000000000002,CH-MOBILE_COMPUTING-ALL,-0.0423480856199875,0.0895033124469923,-0.0042888083027448,0.0423480856199875,0.0042888083027448,0.0895033124469923
5,exponential_smoothing,CH,MOBILE_COMPUTING,ALL,2706,0.0,40134.0,14.000000000000002,-3.6282530538765587e+185,-100.0,CH-MOBILE_COMPUTING-ALL,-1.3351350528274229e+180,inf,-1.2735337176573616e+180,1.3351350528274229e+180,1.2735337176573616e+180,inf
6,exponential_smoothing,DE,DIGITAL_CAMERAS,ALL,2701,3.637978807091713e-12,8578.819603174585,3.0,45269.42960978633,13.0,DE-DIGITAL_CAMERAS-ALL,-0.00014979098374889865,-0.03621220081240498,0.1080087806469091,0.00014979098374889865,0.1080087806469091,0.03621220081240498
7,exponential_smoothing,DE,DIGITAL_CAMERAS,ALL,2702,3.637978807091713e-12,8454.990603174589,3.0,20751.71472003298,6.0,DE-DIGITAL_CAMERAS-ALL,0.0659951012389199,-0.3361855559922525,0.0361308334869087,0.0659951012389199,0.0361308334869087,0.3361855559922525
8,exponential_smoothing,DE,DIGITAL_CAMERAS,ALL,2703,3.637978807091713e-12,8337.374936507924,3.0,10802.162846675677,3.0,DE-DIGITAL_CAMERAS-ALL,0.1043779127588997,-0.3766167306424927,0.006513436342943699,0.1043779127588997,0.006513436342943699,0.3766167306424927
9,exponential_smoothing,DE,DIGITAL_CAMERAS,ALL,2704,3.637978807091713e-12,8315.46010317459,3.0,-6460.774633052008,-1.0,DE-DIGITAL_CAMERAS-ALL,-0.08268814957613035,0.13696270032097196,-0.06250746275847208,0.08268814957613035,0.06250746275847208,0.13696270032097196
10,exponential_smoothing,DE,DIGITAL_CAMERAS,ALL,2705,3.637978807091713e-12,8378.894436507924,3.0,23649.63861290182,7.000000000000001,DE-DIGITAL_CAMERAS-ALL,-0.0779688756489329,0.0849605157692456,0.0455274137775282,0.0779688756489329,0.0455274137775282,0.0849605157692456
11,exponential_smoothing,DE,DIGITAL_CAMERAS,ALL,2706,3.637978807091713e-12,8101.609603174598,3.0,29611.230899630456,10.0,DE-DIGITAL_CAMERAS-ALL,-0.07620456465379447,0.06020922220809881,0.0454620422593398,0.07620456465379447,0.0454620422593398,0.06020922220809881
12,exponential_smoothing,DE,PTV_FLAT,ALL,2701,0.0,21056.733144444035,1.0,116679.59367547906,4.0,DE-PTV_FLAT-ALL,0.021059764592449487,-0.11142477590187361,0.03173621766581279,0.021059764592449487,0.03173621766581279,0.11142477590187361
13,exponential_smoothing,DE,PTV_FLAT,ALL,2702,0.0,21004.195977777388,1.0,24124.836700782078,1.0,DE-PTV_FLAT-ALL,-0.00013702957629599388,-0.002700362971473358,0.0008925415650292007,0.00013702957629599388,0.0008925415650292007,0.002700362971473358
14,exponential_smoothing,DE,PTV_FLAT,ALL,2703,0.0,21256.515620634527,1.0,-23876.77285278341,-1.0,DE-PTV_FLAT-ALL,5.22633889881996e-05,0.00022342567960209614,-0.015462611553805499,5.22633889881996e-05,0.015462611553805499,0.00022342567960209614
15,exponential_smoothing,DE,PTV_FLAT,ALL,2704,0.0,21063.032287301226,1.0,-245749.0758148711,-9.0,DE-PTV_FLAT-ALL,-0.00031910173050309076,0.058163377345919864,0.09016448601345921,0.00031910173050309076,0.09016448601345921,0.058163377345919864
16,exponential_smoothing,DE,PTV_FLAT,ALL,2705,0.0,21284.686453967915,1.0,663985.7116894482,27.0,DE-PTV_FLAT-ALL,-0.09444332200701727,0.024359417864086186,-0.0776290273327502,0.09444332200701727,0.0776290273327502,0.024359417864086186
